conglome,vivienda,hogar,codperso,ing_laboral,internet,uso_avanzado,joven,mujer
015142,162,11,01,6700,1,1,0,0
015143,010,11,01,7190,0,0,0,0
015143,011,11,01,5752,1,0,0,1
015143,063,11,01,6993,1,0,0,0
015143,063,11,02,2849,1,1,1,0
015143,065,11,01,4314,1,1,0,0
015143,065,11,03,16577,1,1,1,0
015144,009,11,02,5384,1,1,1,0
015144,012,11,01,4840,1,0,0,0
015144,054,11,01,726,0,0,0,0
015145,039,11,01,7451,1,1,0,0
015145,088,11,01,7188,1,0,0,0
015146,017,11,01,5992,1,1,1,1
015146,019,11,01,25944,1,1,0,0
015146,019,11,02,7190,1,1,0,1
015146,041,11,04,32474,1,1,1,0
015146,041,11,05,22888,1,1,1,1
015146,043,11,02,4793,1,0,0,0
015147,002,11,01,22253,1,1,0,0
015147,003,11,01,6982,1,0,0,0
015147,004,11,01,23450,1,0,0,0
015147,004,11,03,8136,1,1,0,0
015147,101,11,01,4138,1,1,0,0
015147,102,11,01,2845,1,0,0,0
015149,070,11,01,9679,1,1,0,0
015149,072,11,01,605,1,1,1,0
015149,148,11,02,6532,1,1,1,1
015149,149,11,01,2178,1,1,0,0
015149,150,11,01,3388,1,0,0,0
015150,121,11,02,11120,0,0,1,0
015151,005,11,01,3364,1,1,0,0
015151,006,11,01,11193,1,0,0,0
015151,006,11,02,4806,1,0,0,1
015151,053,11,03,3644,1,1,0,0
015152,009,11,03,4820,1,1,0,0
015152,012,11,01,6025,1,0,0,0
015153,085,11,01,19068,1,1,0,1
015153,086,11,01,14046,1,1,0,0
015153,088,11,01,12068,1,1,0,0
015154,001,11,01,5771,1,1,0,0
015154,003,11,01,16364,1,1,0,0
015154,005,11,01,8304,1,1,0,0
015154,005,11,02,6733,1,0,0,1
015154,094,11,02,14013,1,1,1,0
015154,104,11,01,28134,1,1,0,1
015154,105,11,01,16051,1,1,0,0
015154,105,11,02,27533,1,1,0,1
015155,269,11,02,7023,1,1,0,1
015156,078,11,02,1797,1,1,0,1
015156,157,11,01,2331,1,1,0,1
015157,042,11,01,10692,0,0,0,0
015157,043,11,01,9791,0,0,0,0
015157,044,11,03,16138,1,1,1,0
015157,092,11,01,25998,1,1,0,0
015157,093,11,01,17120,1,1,1,0
015157,095,11,01,28834,1,1,0,0
015158,005,11,01,7005,1,1,1,0
015158,006,11,01,9340,1,0,0,0
015158,007,11,01,12974,1,0,0,0
015158,007,11,05,11156,1,1,1,0
015158,017,11,01,5690,1,1,0,0
015158,019,11,01,1917,1,0,0,0
015158,019,11,02,419,1,0,0,1
015158,020,11,02,4145,1,0,1,0
015159,025,11,06,3240,1,1,1,0
015159,026,11,01,10139,1,1,0,0
015159,116,11,01,36476,1,1,0,0
015159,116,11,02,14939,1,1,0,1
015159,116,11,03,480,1,1,1,1
015159,117,11,09,1800,0,0,0,0
015160,084,11,01,18148,1,1,0,0
015160,084,11,02,5505,1,1,1,1
015161,014,11,04,1928,1,1,1,0
015161,014,11,05,1928,1,0,1,0
015161,321,11,01,3856,1,1,0,0
015161,322,11,02,10845,1,1,0,0
015161,326,11,01,4191,0,0,0,0
015161,327,11,01,4820,1,0,0,0
015161,327,11,03,1834,1,1,1,0
015162,181,11,01,2393,0,0,0,0
015162,183,11,01,6221,1,0,0,0
015162,398,11,01,2070,1,1,0,0
015162,400,11,01,11066,1,1,0,0
015163,042,11,01,9739,1,1,0,0
015164,083,11,01,17855,1,1,1,0
015165,020,11,02,7028,1,0,0,1
015165,042,11,01,29915,1,1,0,0
015166,141,11,02,5451,1,1,1,1
015166,142,11,03,5451,1,1,1,1
015166,144,11,01,14376,1,1,0,0
015167,119,11,02,5350,1,0,0,0
015167,119,11,04,10700,1,1,1,0
015167,255,11,01,3847,1,0,0,0
015168,029,11,03,9342,1,1,1,0
015168,030,11,01,9861,1,1,1,1
015168,032,11,01,8304,1,0,0,0
015168,201,11,01,4809,1,1,0,0
015168,201,11,02,4671,1,0,0,1
015168,204,11,01,14013,1,0,0,0
015168,205,11,01,12456,1,1,0,0
015168,205,11,02,4152,1,1,0,1
